ubid,canonical_business_name,canonical_address,district,pin_code,business_type,business_category,activity_status,confidence,source_record_count,linked_departments,created_at,last_activity_date,audit_policy,entity_id_ground_truth
KA-BLRU-560100-000083,Nandi Electronics Solutions,"No 271, A Extension, Electronic City, Bengaluru Urban, Karnataka - 560100",Bengaluru Urban,560100,Electronics Assembly,Manufacturing,ACTIVE,82,4,FACTORY|GST|SHOP|UDYAM,2026-04-19,2026-02-20,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00083
KA-BLRU-560064-000084,Veda Kitchen Industries,"No 275, Shed 1st Cross, Yelahanka, Bengaluru Urban, Karnataka - 560064",Bengaluru Urban,560064,Restaurant / Cafe,Service,ACTIVE,84,2,BBMP|SHOP,2026-04-08,2025-07-08,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00084
KA-MYS-570018-000085,Mysore Works,"No 280, C Industrial Layout, Nanjangud Road, Mysuru, Karnataka - 570018",Mysuru,570018,Electronics Assembly,Manufacturing,CLOSED,82,4,FACTORY|GST|SHOP|UDYAM,2026-04-11,2023-03-20,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00085
KA-BLRU-560037-000086,Kaveri Labs Pvt Ltd,"No 71, A Near Bus Stop, Whitefield, Bengaluru Urban, Karnataka - 560037",Bengaluru Urban,560037,Chemical Blending,Manufacturing,CLOSED,89,3,FACTORY|KSPCB|LABOUR,2026-03-10,2025-11-21,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00086
KA-TUM-572106-000087,Bangalore Co,"No 217, Near Bus Stop, Antharasanahalli Industrial Area, Tumakuru, Karnataka - 572106",Tumakuru,572106,Restaurant / Cafe,Service,ACTIVE,96,2,BBMP|GST,2026-03-31,2025-10-28,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00087
KA-BLRU-560076-000088,Bharath Biryani Pvt Ltd,"No 94, D Industrial Layout, Bannerghatta Road, Bengaluru Urban, Karnataka - 560076",Bengaluru Urban,560076,Restaurant / Cafe,Service,ACTIVE,89,3,BBMP|KSPCB|SHOP,2026-04-15,2025-08-28,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00088
KA-MYS-570016-000089,Bangalore Works,"No 139, D 2nd Main, Hebbal Industrial Area, Mysuru, Karnataka - 570016",Mysuru,570016,Printing / Packaging,Manufacturing,ACTIVE,99,3,FACTORY|GST|LABOUR,2026-03-12,2026-01-09,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00089
KA-BLRU-560029-000090,Bharath Tech Associates,"No 54, D 3rd Phase, BTM Layout, Bengaluru Urban, Karnataka - 560029",Bengaluru Urban,560029,Electronics Assembly,Manufacturing,ACTIVE,99,5,FACTORY|GST|LABOUR|SHOP|UDYAM,2026-03-17,2025-10-07,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00090
KA-BLRU-560058-000091,Sharma Stitch Enterprises,"No 142, D 3rd Phase, Peenya Industrial Area, Bengaluru Urban, Karnataka - 560058",Bengaluru Urban,560058,Textile / Garments,Manufacturing,ACTIVE,87,5,BBMP|FACTORY|GST|SHOP|UDYAM,2026-03-20,2026-03-16,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00091
KA-BLRU-560059-000092,Prakruthi Care Industries,"No 42, C Behind Metro, Rajajinagar Industrial Suburb, Bengaluru Urban, Karnataka - 560059",Bengaluru Urban,560059,Pharmacy / Medical Retail,Retail,DORMANT,84,2,BBMP|SHOP,2026-03-29,2025-02-23,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00092
KA-BLRU-560102-000093,Kaveri Systems Pvt Ltd,"No 51, B 3rd Phase, HSR Layout, Bengaluru Urban, Karnataka - 560102",Bengaluru Urban,560102,Electronics Assembly,Manufacturing,ACTIVE,99,6,BBMP|FACTORY|GST|KSPCB|LABOUR|UDYAM,2026-04-19,2026-04-13,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00093
KA-BLRU-560068-000094,Sharma Biryani Pvt Ltd,"No 52, Plot 2nd Main, Bommanahalli, Bengaluru Urban, Karnataka - 560068",Bengaluru Urban,560068,Restaurant / Cafe,Service,DORMANT,87,5,BBMP|GST|LABOUR|SHOP|UDYAM,2026-03-19,2025-03-22,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00094
KA-BLRU-560029-000095,Deccan Packaging Traders,"No 211, C 1st Cross, BTM Layout, Bengaluru Urban, Karnataka - 560029",Bengaluru Urban,560029,Printing / Packaging,Manufacturing,ACTIVE,82,4,FACTORY|GST|KSPCB|SHOP,2026-04-17,2025-09-09,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00095
KA-MYS-570016-000096,Ananya Devices Solutions,"No 250, D Extension, Hebbal Industrial Area, Mysuru, Karnataka - 570016",Mysuru,570016,Electronics Assembly,Manufacturing,ACTIVE,94,4,BBMP|FACTORY|GST|SHOP,2026-04-01,2025-09-28,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00096
KA-BLRU-560085-000097,Ananya Labs Pvt Ltd,"No 216, Shed Behind Metro, Banashankari, Bengaluru Urban, Karnataka - 560085",Bengaluru Urban,560085,Chemical Blending,Manufacturing,DORMANT,99,3,BBMP|FACTORY|KSPCB,2026-04-10,2024-05-12,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00097
KA-BLRU-560029-000098,Ganesh Works,"No 76, B Industrial Layout, BTM Layout, Bengaluru Urban, Karnataka - 560029",Bengaluru Urban,560029,Printing / Packaging,Manufacturing,ACTIVE,96,2,KSPCB|SHOP,2026-03-15,2025-11-08,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00098
KA-BLRR-562114-000099,Mysore Cargo Solutions,"No 62, Shed 1st Cross, Hoskote, Bengaluru Rural, Karnataka - 562114",Bengaluru Rural,562114,Logistics / Warehouse,Service,ACTIVE,99,5,BBMP|GST|LABOUR|SHOP|UDYAM,2026-03-16,2026-04-29,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00099
KA-BLRU-560043-000100,Srinidhi Traders,"No 235, D Extension, Kalyan Nagar, Bengaluru Urban, Karnataka - 560043",Bengaluru Urban,560043,Food Processing,Manufacturing,ACTIVE,77,3,BBMP|GST|KSPCB,2026-03-16,2026-04-24,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00100
KA-BLRU-560085-000101,Srinidhi Enterprises,"No 195, B Behind Metro, Banashankari, Bengaluru Urban, Karnataka - 560085",Bengaluru Urban,560085,Machine Tools,Manufacturing,DORMANT,87,5,FACTORY|GST|KSPCB|LABOUR|SHOP,2026-03-18,2024-07-18,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00101
KA-TUM-572106-000102,Sharma CNC Enterprises,"No 68, A Main Road, Antharasanahalli Industrial Area, Tumakuru, Karnataka - 572106",Tumakuru,572106,Machine Tools,Manufacturing,DORMANT,99,5,GST|KSPCB|LABOUR|SHOP|UDYAM,2026-04-03,2025-04-21,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00102
KA-BLRU-560064-000103,Aditya Garments Industries,"No 90, Plot Main Road, Yelahanka, Bengaluru Urban, Karnataka - 560064",Bengaluru Urban,560064,Textile / Garments,Manufacturing,ACTIVE,99,3,BBMP|GST|LABOUR,2026-04-10,2025-08-18,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00103
KA-BLRU-560100-000104,Navya Printers Traders,"No 18, Shed Main Road, Electronic City, Bengaluru Urban, Karnataka - 560100",Bengaluru Urban,560100,Printing / Packaging,Manufacturing,ACTIVE,99,6,BBMP|FACTORY|GST|KSPCB|LABOUR|SHOP,2026-05-01,2025-08-12,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00104
KA-BLRU-560029-000105,Kaveri Pvt Ltd,"No 86, Behind Metro, BTM Layout, Bengaluru Urban, Karnataka - 560029",Bengaluru Urban,560029,Plastic Moulding,Manufacturing,DORMANT,99,4,FACTORY|GST|KSPCB|UDYAM,2026-04-29,2024-12-15,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00105
KA-BLRR-562114-000106,Naveen Stores LLP,"No 237, A Service Road, Hoskote, Bengaluru Rural, Karnataka - 562114",Bengaluru Rural,562114,Logistics / Warehouse,Service,DORMANT,84,2,BBMP|LABOUR,2026-03-26,2024-11-21,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00106
KA-MYS-570001-000107,Harsha Industries,"No 45, Extension, Devaraja Mohalla, Mysuru, Karnataka - 570001",Mysuru,570001,Printing / Packaging,Manufacturing,DORMANT,99,3,LABOUR|SHOP|UDYAM,2026-03-10,2025-04-11,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00107
KA-BLRU-560064-000108,Mysore Fashions Enterprises,"No 287, D Service Road, Yelahanka, Bengaluru Urban, Karnataka - 560064",Bengaluru Urban,560064,Textile / Garments,Manufacturing,ACTIVE,94,4,FACTORY|GST|LABOUR|UDYAM,2026-04-20,2026-04-15,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00108
KA-TUM-572101-000109,Bangalore Packaging Works,"No 135, A 1st Cross, BH Road, Tumakuru, Karnataka - 572101",Tumakuru,572101,Plastic Moulding,Manufacturing,DORMANT,94,4,FACTORY|GST|KSPCB|LABOUR,2026-03-23,2025-03-16,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00109
KA-BLRU-560085-000110,Sharma Chem LLP,"No 218, B Industrial Layout, Banashankari, Bengaluru Urban, Karnataka - 560085",Bengaluru Urban,560085,Chemical Blending,Manufacturing,ACTIVE,99,5,FACTORY|GST|KSPCB|LABOUR|UDYAM,2026-03-25,2026-03-04,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00110
KA-BLRU-560102-000111,Naveen Polymers Solutions,"No 64, Shed Sector, HSR Layout, Bengaluru Urban, Karnataka - 560102",Bengaluru Urban,560102,Plastic Moulding,Manufacturing,ACTIVE,99,5,FACTORY|GST|KSPCB|LABOUR|UDYAM,2026-04-20,2025-11-02,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00111
KA-BLRU-560024-000112,Ananya Solutions,"No 218, B Industrial Layout, Hebbal, Bengaluru Urban, Karnataka - 560024",Bengaluru Urban,560024,Chemical Blending,Manufacturing,CLOSED,99,3,FACTORY|KSPCB|UDYAM,2026-04-12,2023-04-01,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00112
KA-BLRU-560001-000113,Harsha Tools Associates,"No 299, C Industrial Layout, MG Road, Bengaluru Urban, Karnataka - 560001",Bengaluru Urban,560001,Machine Tools,Manufacturing,ACTIVE,94,4,FACTORY|KSPCB|LABOUR|SHOP,2026-03-14,2026-03-20,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00113
KA-BLRU-560058-000114,Nandi Bakery Pvt Ltd,"No 99, A 3rd Phase, Peenya Industrial Area, Bengaluru Urban, Karnataka - 560058",Bengaluru Urban,560058,Food Processing,Manufacturing,ACTIVE,82,4,BBMP|FACTORY|GST|SHOP,2026-03-19,2026-03-27,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00114
KA-BLRU-560076-000115,Bangalore Care Works,"No 185, C Service Road, Bannerghatta Road, Bengaluru Urban, Karnataka - 560076",Bengaluru Urban,560076,Pharmacy / Medical Retail,Retail,DORMANT,72,2,GST|SHOP,2026-03-28,2024-05-01,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00115
KA-BLRU-560043-000116,Prakruthi Packaging Industries,"No 259, Industrial Layout, Kalyan Nagar, Bengaluru Urban, Karnataka - 560043",Bengaluru Urban,560043,Printing / Packaging,Manufacturing,ACTIVE,99,5,GST|KSPCB|LABOUR|SHOP|UDYAM,2026-04-11,2026-01-07,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00116
KA-TUM-572106-000117,Mysore Printers Company,"No 229, Industrial Layout, Antharasanahalli Industrial Area, Tumakuru, Karnataka - 572106",Tumakuru,572106,Printing / Packaging,Manufacturing,CLOSED,67,1,FACTORY,2026-05-04,2020-11-12,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00117
KA-BLRU-560076-000118,Prakruthi Electronics Industries,"No 121, Shed 3rd Phase, Bannerghatta Road, Bengaluru Urban, Karnataka - 560076",Bengaluru Urban,560076,Electronics Assembly,Manufacturing,ACTIVE,82,4,FACTORY|GST|SHOP|UDYAM,2026-03-23,2026-03-16,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00118
KA-BLRU-560034-000119,Ravi Solutions,"No 122, 1st Cross, Koramangala, Bengaluru Urban, Karnataka - 560034",Bengaluru Urban,560034,Food Processing,Manufacturing,ACTIVE,72,2,GST|KSPCB,2026-04-22,2026-03-12,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00119
KA-BLRR-562110-000120,Aarohi Medical Works,"No 281, A 3rd Phase, Devanahalli, Bengaluru Rural, Karnataka - 562110",Bengaluru Rural,562110,Pharmacy / Medical Retail,Retail,DORMANT,94,4,BBMP|FACTORY|GST|SHOP,2026-03-16,2025-01-12,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00120
KA-BLRU-560102-000121,Sree Clinic Industries,"No 36, Sector, HSR Layout, Bengaluru Urban, Karnataka - 560102",Bengaluru Urban,560102,Pharmacy / Medical Retail,Retail,ACTIVE,99,4,BBMP|FACTORY|GST|SHOP,2026-03-17,2025-10-17,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00121
KA-BLRU-560076-000122,Aarohi Apparels Company,"No 136, D 3rd Phase, Bannerghatta Road, Bengaluru Urban, Karnataka - 560076",Bengaluru Urban,560076,Textile / Garments,Manufacturing,ACTIVE,99,4,FACTORY|LABOUR|SHOP|UDYAM,2026-03-06,2025-07-13,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00122
KA-BLRU-560024-000123,Nisarga Industrial Co,"No 194, A Behind Metro, Hebbal, Bengaluru Urban, Karnataka - 560024",Bengaluru Urban,560024,Restaurant / Cafe,Service,ACTIVE,82,4,BBMP|GST|KSPCB|SHOP,2026-04-17,2026-02-02,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00123
KA-BLRU-560059-000124,Sahana Works Company,"No 50, Sector, Rajajinagar Industrial Suburb, Bengaluru Urban, Karnataka - 560059",Bengaluru Urban,560059,Machine Tools,Manufacturing,ACTIVE,87,5,FACTORY|KSPCB|LABOUR|SHOP|UDYAM,2026-04-22,2025-11-12,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00124
KA-BLRU-560100-000125,Navya Snacks Industries,"No 87, Plot 2nd Main, Electronic City, Bengaluru Urban, Karnataka - 560100",Bengaluru Urban,560100,Food Processing,Manufacturing,ACTIVE,99,5,FACTORY|GST|LABOUR|SHOP|UDYAM,2026-03-23,2026-03-05,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00125
KA-MYS-570018-000126,Sahana Garments Company,"No 98, D Extension, Nanjangud Road, Mysuru, Karnataka - 570018",Mysuru,570018,Textile / Garments,Manufacturing,DORMANT,77,3,GST|LABOUR|SHOP,2026-03-31,2025-03-04,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00126
KA-MYS-570016-000127,Omkar Graphics Industries,"No 160, A Extension, Hebbal Industrial Area, Mysuru, Karnataka - 570016",Mysuru,570016,Printing / Packaging,Manufacturing,ACTIVE,89,3,GST|KSPCB|LABOUR,2026-05-01,2026-04-08,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00127
KA-BLRR-562110-000128,Srinidhi Co,"No 144, 3rd Phase, Devanahalli, Bengaluru Rural, Karnataka - 562110",Bengaluru Rural,562110,Pharmacy / Medical Retail,Retail,ACTIVE,99,4,BBMP|GST|LABOUR|SHOP,2026-04-14,2026-03-07,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00128
KA-BLRU-560043-000129,Sri Devices LLP,"No 2, A Sector, Kalyan Nagar, Bengaluru Urban, Karnataka - 560043",Bengaluru Urban,560043,Electronics Assembly,Manufacturing,ACTIVE,82,4,BBMP|GST|KSPCB|UDYAM,2026-03-26,2025-10-28,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00129
KA-BLRU-560058-000130,Kaveri Cargo Solutions,"No 1, 2nd Main, Peenya Industrial Area, Bengaluru Urban, Karnataka - 560058",Bengaluru Urban,560058,Logistics / Warehouse,Service,ACTIVE,77,3,GST|SHOP|UDYAM,2026-04-09,2026-04-07,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00130
KA-MYS-570001-000131,Aditya Systems LLP,"No 181, Shed Extension, Devaraja Mohalla, Mysuru, Karnataka - 570001",Mysuru,570001,Electronics Assembly,Manufacturing,ACTIVE,96,2,KSPCB|UDYAM,2026-04-23,2025-07-25,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00131
KA-BLRR-562114-000132,Sri Kitchen Enterprises,"No 128, A Extension, Hoskote, Bengaluru Rural, Karnataka - 562114",Bengaluru Rural,562114,Restaurant / Cafe,Service,DORMANT,77,3,BBMP|GST|SHOP,2026-03-14,2023-08-22,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00132
KA-MYS-570001-000133,Sri Moulding Works,"No 257, B Service Road, Devaraja Mohalla, Mysuru, Karnataka - 570001",Mysuru,570001,Plastic Moulding,Manufacturing,ACTIVE,82,4,FACTORY|GST|KSPCB|SHOP,2026-05-04,2025-11-11,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00133
KA-BLRU-560043-000134,Udupi Logistics Company,"No 271, Near Bus Stop, Kalyan Nagar, Bengaluru Urban, Karnataka - 560043",Bengaluru Urban,560043,Logistics / Warehouse,Service,ACTIVE,99,3,GST|LABOUR|UDYAM,2026-03-12,2025-07-08,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00134
KA-BLRR-562110-000135,Kaveri Textiles Enterprises,"No 282, D 3rd Phase, Devanahalli, Bengaluru Rural, Karnataka - 562110",Bengaluru Rural,562110,Textile / Garments,Manufacturing,ACTIVE,94,4,FACTORY|GST|LABOUR|SHOP,2026-04-13,2026-02-13,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00135
KA-BLRU-560064-000136,Aarohi Bakery Industries,"No 294, D Extension, Yelahanka, Bengaluru Urban, Karnataka - 560064",Bengaluru Urban,560064,Food Processing,Manufacturing,ACTIVE,99,4,BBMP|FACTORY|GST|LABOUR,2026-05-01,2025-07-07,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00136
KA-BLRU-560100-000137,Omkar Agro Co,"No 138, 1st Cross, Electronic City, Bengaluru Urban, Karnataka - 560100",Bengaluru Urban,560100,Food Processing,Manufacturing,ACTIVE,99,4,GST|KSPCB|SHOP|UDYAM,2026-05-04,2025-07-26,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00137
KA-MYS-570001-000138,Meghana Meals Industries,"No 244, B 1st Cross, Devaraja Mohalla, Mysuru, Karnataka - 570001",Mysuru,570001,Restaurant / Cafe,Service,DORMANT,77,3,BBMP|GST|SHOP,2026-03-15,2024-11-23,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00138
KA-BLRU-560037-000139,Harsha Works Co,"No 1, D 2nd Main, Whitefield, Bengaluru Urban, Karnataka - 560037",Bengaluru Urban,560037,Machine Tools,Manufacturing,ACTIVE,77,3,BBMP|KSPCB|SHOP,2026-05-03,2025-07-27,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00139
KA-BLRU-560068-000140,Omkar Agro Company,"No 114, B Behind Metro, Bommanahalli, Bengaluru Urban, Karnataka - 560068",Bengaluru Urban,560068,Food Processing,Manufacturing,ACTIVE,82,4,FACTORY|KSPCB|SHOP|UDYAM,2026-04-12,2025-11-23,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00140
KA-MYS-570001-000141,Nisarga Packaging Traders,"No 249, Shed Industrial Layout, Devaraja Mohalla, Mysuru, Karnataka - 570001",Mysuru,570001,Plastic Moulding,Manufacturing,ACTIVE,99,5,FACTORY|GST|KSPCB|LABOUR|UDYAM,2026-05-01,2026-03-13,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00141
KA-BLRR-562157-000142,Lakshmi Pharma Works,"No 147, B Extension, Bagalur, Bengaluru Rural, Karnataka - 562157",Bengaluru Rural,562157,Pharmacy / Medical Retail,Retail,ACTIVE,72,2,BBMP|SHOP,2026-05-02,2025-06-25,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00142
KA-BLRU-560078-000143,Siddhi Pvt Ltd,"No 57, Shed 1st Cross, Jayanagar, Bengaluru Urban, Karnataka - 560078",Bengaluru Urban,560078,Electronics Assembly,Manufacturing,ACTIVE,99,4,BBMP|FACTORY|GST|SHOP,2026-03-05,2025-11-01,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00143
KA-BLRU-560064-000144,Varun Meals Solutions,"No 50, Plot Industrial Layout, Yelahanka, Bengaluru Urban, Karnataka - 560064",Bengaluru Urban,560064,Restaurant / Cafe,Service,ACTIVE,99,3,BBMP|GST|SHOP,2026-03-25,2025-12-27,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00144
KA-BLRU-560076-000145,Veda Works,"No 37, C Sector, Bannerghatta Road, Bengaluru Urban, Karnataka - 560076",Bengaluru Urban,560076,Machine Tools,Manufacturing,ACTIVE,94,4,GST|KSPCB|LABOUR|SHOP,2026-03-21,2026-02-11,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00145
KA-BLRU-560043-000146,Udupi Circuits LLP,"No 155, Behind Metro, Kalyan Nagar, Bengaluru Urban, Karnataka - 560043",Bengaluru Urban,560043,Electronics Assembly,Manufacturing,ACTIVE,77,3,FACTORY|GST|UDYAM,2026-03-28,2025-11-07,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00146
KA-MYS-570016-000147,Siddhi Supply LLP,"No 21, 2nd Main, Hebbal Industrial Area, Mysuru, Karnataka - 570016",Mysuru,570016,Logistics / Warehouse,Service,ACTIVE,89,3,BBMP|GST|LABOUR,2026-04-20,2026-03-27,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00147
KA-BLRU-560085-000148,Vijaya Tools Solutions,"No 219, Plot Sector, Banashankari, Bengaluru Urban, Karnataka - 560085",Bengaluru Urban,560085,Machine Tools,Manufacturing,DORMANT,89,3,FACTORY|GST|SHOP,2026-03-05,2024-09-10,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00148
KA-BLRU-560066-000149,Udupi Pharma Works,"No 293, Plot Service Road, Whitefield Main Road, Bengaluru Urban, Karnataka - 560066",Bengaluru Urban,560066,Pharmacy / Medical Retail,Retail,ACTIVE,99,3,GST|LABOUR|SHOP,2026-04-04,2026-01-07,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00149
KA-MYS-570001-000150,Bangalore Company,"No 129, C 1st Cross, Devaraja Mohalla, Mysuru, Karnataka - 570001",Mysuru,570001,Food Processing,Manufacturing,DORMANT,77,3,GST|KSPCB|UDYAM,2026-04-19,2024-03-02,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00150
KA-BLRR-562114-000151,Lakshmi Graphics Solutions,"No 176, A Extension, Hoskote, Bengaluru Rural, Karnataka - 562114",Bengaluru Rural,562114,Printing / Packaging,Manufacturing,ACTIVE,99,5,FACTORY|GST|KSPCB|LABOUR|UDYAM,2026-03-12,2026-02-17,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00151
KA-BLRU-560066-000152,Meghana Machining Works,"No 182, B Main Road, Whitefield Main Road, Bengaluru Urban, Karnataka - 560066",Bengaluru Urban,560066,Machine Tools,Manufacturing,ACTIVE,99,4,GST|KSPCB|LABOUR|SHOP,2026-03-21,2026-04-04,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00152
KA-BLRU-560058-000153,Sahana Kitchen Solutions,"No 223, B Industrial Layout, Peenya Industrial Area, Bengaluru Urban, Karnataka - 560058",Bengaluru Urban,560058,Restaurant / Cafe,Service,DORMANT,99,4,BBMP|GST|LABOUR|SHOP,2026-04-11,2023-12-16,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00153
KA-BLRU-560043-000154,Navya Trans Co,"No 106, A 1st Cross, Kalyan Nagar, Bengaluru Urban, Karnataka - 560043",Bengaluru Urban,560043,Logistics / Warehouse,Service,DORMANT,84,2,GST|SHOP,2026-04-10,2024-07-06,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00154
KA-BLRR-561203-000155,Aditya Chem Co,"No 57, C 3rd Phase, Doddaballapura, Bengaluru Rural, Karnataka - 561203",Bengaluru Rural,561203,Chemical Blending,Manufacturing,ACTIVE,99,4,FACTORY|GST|KSPCB|LABOUR,2026-03-22,2025-10-17,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00155
KA-BLRU-560085-000156,Mysore Industries,"No 23, Near Bus Stop, Banashankari, Bengaluru Urban, Karnataka - 560085",Bengaluru Urban,560085,Food Processing,Manufacturing,ACTIVE,99,5,GST|KSPCB|LABOUR|SHOP|UDYAM,2026-03-22,2025-06-20,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00156
KA-BLRU-560059-000157,Naveen Coatings Co,"No 154, A Behind Metro, Rajajinagar Industrial Suburb, Bengaluru Urban, Karnataka - 560059",Bengaluru Urban,560059,Chemical Blending,Manufacturing,ACTIVE,99,5,FACTORY|GST|KSPCB|SHOP|UDYAM,2026-04-23,2026-02-25,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00157
KA-BLRU-560068-000158,Omkar Labs Co,"No 94, Shed 3rd Phase, Bommanahalli, Bengaluru Urban, Karnataka - 560068",Bengaluru Urban,560068,Chemical Blending,Manufacturing,ACTIVE,99,4,BBMP|FACTORY|GST|KSPCB,2026-04-03,2026-02-28,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00158
KA-TUM-572106-000159,Bangalore Machining Co,"No 257, D Industrial Layout, Antharasanahalli Industrial Area, Tumakuru, Karnataka - 572106",Tumakuru,572106,Machine Tools,Manufacturing,ACTIVE,99,5,FACTORY|GST|KSPCB|LABOUR|UDYAM,2026-03-24,2025-12-28,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00159
KA-TUM-572106-000160,Srinidhi Bites Co,"No 250, Plot Main Road, Antharasanahalli Industrial Area, Tumakuru, Karnataka - 572106",Tumakuru,572106,Restaurant / Cafe,Service,ACTIVE,87,5,BBMP|GST|LABOUR|SHOP|UDYAM,2026-03-21,2025-06-22,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00160
KA-BLRU-560064-000161,Bangalore Apparels Enterprises,"No 61, D Behind Metro, Yelahanka, Bengaluru Urban, Karnataka - 560064",Bengaluru Urban,560064,Textile / Garments,Manufacturing,CLOSED,94,4,BBMP|GST|SHOP|UDYAM,2026-03-25,2022-03-20,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00161
KA-BLRU-560037-000162,Ananya CNC LLP,"No 279, Main Road, Whitefield, Bengaluru Urban, Karnataka - 560037",Bengaluru Urban,560037,Machine Tools,Manufacturing,ACTIVE,99,5,GST|KSPCB|LABOUR|SHOP|UDYAM,2026-04-24,2026-03-30,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00162
KA-BLRR-562114-000163,Asha Clinic Solutions,"No 231, Shed Near Bus Stop, Hoskote, Bengaluru Rural, Karnataka - 562114",Bengaluru Rural,562114,Pharmacy / Medical Retail,Retail,DORMANT,99,4,BBMP|GST|SHOP|UDYAM,2026-04-30,2024-01-30,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00163
KA-BLRU-560058-000164,Sahana Kitchen Solutions,"No 49, C 2nd Main, Peenya Industrial Area, Bengaluru Urban, Karnataka - 560058",Bengaluru Urban,560058,Electronics Assembly,Manufacturing,ACTIVE,94,4,BBMP|FACTORY|GST|SHOP,2026-03-26,2025-06-29,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00164
